name,height_cm,reach_in,stance,DOB
Cody Pfister,177.8,73.0,Orthodox,1990-07-12
Cody Stamann,167.64,64.0,Orthodox,1989-11-09
Colby Covington,180.34,72.0,Orthodox,1988-02-22
Colby Thicknesse,170.18,69.0,Orthodox,1999-06-23
Cole Escovedo,170.18,72.0,Orthodox,1981-08-30
Cole Miller,185.42,73.0,Orthodox,1984-04-26
Cole Smith,180.34,67.0,Orthodox,1989-04-05
Cole Williams,182.88,73.0,Orthodox,1983-12-15
Colin Fletcher,187.96,,Orthodox,1983-01-08
Colin Robinson,193.04,,Orthodox,1968-11-27
Collin Anglin,175.26,71.0,Orthodox,1993-02-20
Collin Hart,185.42,,Orthodox,1989-10-12
Colton Smith,182.88,71.0,Orthodox,1987-08-14
Connor Matthews,172.72,71.0,Switch,1992-05-31
Conor McGregor,175.26,74.0,Southpaw,1988-07-14
Constantinos Philippou,180.34,73.0,Orthodox,1979-11-29
Corey Anderson,190.5,79.0,Orthodox,1989-09-22
Corey Hill,193.04,80.0,Orthodox,1978-10-03
Cortavious Romious,162.56,68.0,Southpaw,1994-01-06
Cortney Casey,170.18,67.0,Orthodox,1987-05-05
Cory Hendricks,190.5,,Switch,1988-05-10
Cory McKenna,160.02,58.0,Orthodox,1999-07-11
Cory Sandhagen,180.34,70.0,Switch,1992-04-20
Cory Walmsley,182.88,,Orthodox,
Court McGee,180.34,75.0,Orthodox,1984-12-12
Crafton Wallace,182.88,,Orthodox,1975-11-10
Craig White,187.96,76.0,Orthodox,1990-07-01
Cristian Quinonez,172.72,70.0,Orthodox,1996-04-26
Cristiane Justino,172.72,68.0,Orthodox,1985-07-09
Cristiano Marcello,175.26,72.0,Orthodox,1977-12-03
Cristina Stanciu,160.02,,Orthodox,1994-03-29
Cub Swanson,172.72,70.0,Orthodox,1983-11-02
Cung Le,175.26,70.0,Southpaw,1972-05-25
Curt Warburton,182.88,73.0,Orthodox,
Curtis Blaydes,193.04,80.0,Orthodox,1991-02-18
Curtis Millender,187.96,76.0,Orthodox,1987-12-01
Curtis Stout,185.42,,Southpaw,1973-11-07
Cynthia Calvillo,162.56,64.0,Orthodox,1987-07-13
Cyril Asker,182.88,74.0,Orthodox,1985-12-24
Cyrille Diabate,198.12,81.0,Southpaw,1973-10-06
Da Woon Jung,193.04,78.0,Orthodox,1993-12-07
Da'Mon Blackshear,177.8,72.0,Switch,1994-08-12
DaMarques Johnson,185.42,75.0,Orthodox,1982-06-28
Daichi Abe,180.34,71.0,Orthodox,1991-11-27
Dakota Bush,177.8,73.0,Orthodox,1994-06-09
Dalcha Lungiambula,172.72,76.0,Orthodox,1987-07-31
Dale Hartt,177.8,69.0,Orthodox,1979-04-04
Damacio Page,167.64,66.0,Orthodox,1982-09-30
Damian Grabowski,185.42,75.0,Orthodox,1980-05-12
Damian Pinas,185.42,79.0,Orthodox,2002-03-12
Damian Stasiak,165.1,70.0,Orthodox,1990-02-20
Damien Brown,177.8,68.0,Orthodox,1984-12-25
Damir Hadzovic,175.26,70.0,Orthodox,1986-08-08
Damir Ismagulov,177.8,74.0,Orthodox,1991-02-03
Damon Jackson,180.34,71.0,Switch,1988-08-08
Dan Argueta,170.18,68.0,Southpaw,1993-08-13
Dan Barrera,175.26,,Orthodox,1980-12-23
Dan Christison,203.2,,Orthodox,1972-04-26
Dan Cramer,187.96,,Orthodox,1985-10-31
Dan Evensen,190.5,,Orthodox,1974-06-01
Dan Hardy,182.88,74.0,Orthodox,1982-05-17
Dan Henderson,180.34,74.0,Orthodox,1970-08-24
Dan Hooker,182.88,75.0,Switch,1990-02-13
Dan Ige,170.18,71.0,Orthodox,1991-08-06
Dan Lauzon,177.8,,Orthodox,1988-03-30
Dan Miller,185.42,74.0,Orthodox,1981-06-30
Dan Moret,182.88,73.0,Southpaw,1986-11-21
Dan Stittgen,185.42,,Orthodox,1980-11-17
Daniel Barez,167.64,66.0,Orthodox,1988-12-10
Daniel Cormier,180.34,72.0,Orthodox,1979-03-20
Daniel Frunza,185.42,73.0,Orthodox,1994-04-13
Daniel Jolly,185.42,75.0,Orthodox,1984-09-03
Daniel Kelly,182.88,70.0,Southpaw,1977-10-31
Daniel Lacerda,167.64,70.0,Switch,1996-06-05
Daniel Marcos,170.18,69.0,Orthodox,1993-03-07
Daniel Omielanczuk,182.88,74.0,Southpaw,1982-08-31
Daniel Pineda,170.18,69.0,Orthodox,1985-08-06
Daniel Roberts,177.8,74.0,Southpaw,1980-08-05
Daniel Rodriguez,185.42,74.0,Southpaw,1986-12-31
Daniel Santos,170.18,67.0,Orthodox,1995-03-12
Daniel Sarafian,175.26,73.0,Orthodox,1982-08-21
Daniel Spitz,200.66,82.0,Orthodox,1990-07-31
Daniel Spohn,193.04,79.0,Southpaw,1984-10-12
Daniel Teymur,165.1,69.0,Orthodox,1988-02-03
Daniel Zellhuber,185.42,77.0,Switch,1999-07-07
Danielle Taylor,152.4,60.0,Orthodox,1989-10-25
Daniil Donchenko,180.34,71.0,Orthodox,2001-08-04
Danillo Villefort,185.42,,Orthodox,1983-05-08
Danilo Belluardo,182.88,74.0,Southpaw,1994-07-21
Danilo Marques,198.12,77.0,Orthodox,1985-12-26
Danny Abbadi,180.34,,Orthodox,1983-07-03
Danny Barlow,187.96,79.0,Southpaw,1995-08-02
Danny Castillo,175.26,71.0,Orthodox,1979-08-25
Danny Chavez,172.72,67.0,Orthodox,1987-03-14
Danny Downes,182.88,72.0,Orthodox,1986-04-08
Danny Henry,182.88,73.0,Orthodox,1988-07-17
Danny Martinez,167.64,67.0,Orthodox,1985-06-14
Danny Mitchell,187.96,,Orthodox,1986-08-08
Danny Roberts,185.42,74.0,Southpaw,1987-07-14
Danny Silva,180.34,70.0,Switch,1997-01-30
Dante Rivera,185.42,,Southpaw,1974-12-08
Danyelle Wolf,180.34,70.0,Orthodox,1983-09-08
Daria Zhelezniakova,175.26,68.0,Orthodox,1996-01-23
Darian Weeks,180.34,72.0,Orthodox,1993-11-23
Darko Stosic,182.88,76.0,Orthodox,1992-02-09
Daron Cruickshank,172.72,72.0,Switch,1985-06-11
Darrell Horcher,177.8,70.0,Southpaw,1987-07-28
Darrell Montague,167.64,67.0,Southpaw,1987-11-03
Darren Elkins,177.8,71.0,Orthodox,1984-05-16
Darren Stewart,182.88,74.0,Orthodox,1990-12-30
Darren Till,182.88,74.0,Southpaw,1992-12-24
Darren Uyenoyama,167.64,65.0,Orthodox,1979-10-15
Darrick Minner,170.18,69.0,Orthodox,1990-04-28
Darrill Schoonover,187.96,,Orthodox,1985-07-18
Darrius Flowers,175.26,71.0,Orthodox,1994-08-25
Dashon Johnson,170.18,,Orthodox,1988-01-25
Dave Galera,180.34,,Orthodox,1978-01-12
Dave Herman,193.04,77.0,Orthodox,1984-10-03
Dave Menne,177.8,,Orthodox,1974-07-29
Dave Strasser,177.8,,Orthodox,1969-07-13
Davey Grant,172.72,69.0,Orthodox,1985-12-18
Davi Ramos,167.64,70.0,Orthodox,1986-11-05
David Abbott,182.88,,Switch,1965-04-26
David Baron,167.64,,Switch,1973-02-15
David Bielkheden,177.8,71.0,Orthodox,1979-06-06
David Branch,185.42,78.0,Orthodox,1981-09-26
David Dvorak,165.1,68.0,Orthodox,1992-06-05
David Heath,180.34,72.0,Orthodox,1976-02-10
David Kaplan,170.18,,Orthodox,1979-11-16
David Lee,177.8,,Orthodox,1988-04-12
David Loiseau,182.88,76.0,Orthodox,1979-12-17
David Martinez,165.1,67.0,Orthodox,1998-08-03
David Michaud,175.26,,Orthodox,1988-11-10
David Mitchell,182.88,75.0,Orthodox,1979-10-24
David Onama,180.34,74.0,Orthodox,1994-06-07
David Terrell,185.42,,Southpaw,1978-01-09
David Teymur,175.26,73.0,Southpaw,1989-05-01
David Zawada,182.88,75.0,Orthodox,1990-08-01
DeAnna Bennett,162.56,68.0,Orthodox,1984-11-18
Dean Lister,185.42,75.0,Orthodox,1976-02-13
Deiveson Figueiredo,165.1,68.0,Orthodox,1987-12-18
Delson Heleno,180.34,,Orthodox,1977-11-16
Demetrious Johnson,160.02,66.0,Orthodox,1986-08-13
Demian Maia,185.42,72.0,Southpaw,1977-11-06
Denis Kang,180.34,77.0,Orthodox,1977-09-17
Denis Stojnic,182.88,,Orthodox,1980-02-02
Denis Tiuliulin,185.42,77.0,Orthodox,1988-05-17
Denise Gomes,157.48,63.0,Orthodox,1999-12-30
Dennis Bermudez,167.64,66.0,Orthodox,1986-12-13
Dennis Buzukja,175.26,70.0,Switch,1997-10-01
Dennis Hallman,175.26,72.0,Orthodox,1975-12-02
Dennis Siver,167.64,70.0,Orthodox,1979-01-13
Denys Bondar,167.64,69.0,Orthodox,1992-06-27
Denzel Freeman,185.42,77.0,Southpaw,1991-11-10
Dequan Townsend,190.5,79.0,Orthodox,1986-05-11
Derek Brunson,185.42,77.0,Southpaw,1984-01-04
Derek Downey,185.42,,Orthodox,1980-04-27
Deron Winn,167.64,70.0,Orthodox,1989-06-13
Derrick Krantz,177.8,72.0,Orthodox,1988-01-13
Derrick Lewis,190.5,79.0,Orthodox,1985-02-07
Derrick Noble,175.26,,Southpaw,1978-08-14
Desmond Green,177.8,73.0,Southpaw,1989-10-11
Devin Clark,182.88,75.0,Orthodox,1990-04-12
Devin Powell,182.88,73.0,Orthodox,1988-03-01
Devonte Smith,175.26,76.0,Orthodox,1993-07-30
Dhiego Lima,187.96,75.0,Orthodox,1989-01-31
Diana Belbita,170.18,68.0,Orthodox,1996-06-26
Diego Brandao,170.18,64.0,Orthodox,1987-05-27
Diego Ferreira,175.26,74.0,Orthodox,1985-01-18
Diego Lopes,180.34,72.0,Orthodox,1994-12-30
Diego Nunes,167.64,67.0,Orthodox,1982-11-30
Diego Rivas,172.72,69.0,Orthodox,1991-11-11
Diego Sanchez,177.8,72.0,Southpaw,1981-12-31
Diego Saraiva,167.64,,Orthodox,1982-04-23
Dileno Lopes,165.1,,,1984-09-26
Din Thomas,175.26,,Orthodox,1976-09-28
Dione Barbosa,167.64,66.0,Orthodox,1992-05-08
Diyar Nurgozhay,187.96,74.0,Southpaw,1997-04-22
Djorden Santos,182.88,75.0,Orthodox,1997-08-01
Dmitrii Smoliakov,187.96,74.0,Switch,1982-08-05
Dmitry Sosnovskiy,190.5,77.0,Orthodox,1989-07-06
Dokonjonosuke Mishima,170.18,,Southpaw,1972-04-19
Dom Mar Fan,180.34,75.0,Orthodox,2000-03-19
Domingo Pilarte,182.88,73.0,Southpaw,1990-01-05
Dominic Waters,185.42,79.0,Orthodox,1989-04-11
Dominick Cruz,172.72,68.0,Orthodox,1985-03-09
Dominick Reyes,193.04,77.0,Southpaw,1989-12-26
Dominique Steele,177.8,74.0,Orthodox,1988-01-27
Don Madge,182.88,72.0,Southpaw,1990-11-12
Don Shainis,167.64,67.0,Orthodox,1990-09-16
Don'Tale Mayes,198.12,81.0,Orthodox,1992-01-16
Donald Cerrone,185.42,73.0,Orthodox,1983-03-29
Dong Hyun Kim,187.96,76.0,Southpaw,1981-11-17
Dong Hyun Ma,180.34,70.0,Orthodox,1988-09-09
DongHun Choi,165.1,66.0,Switch,1999-01-02
Dongi Yang,177.8,73.0,Southpaw,1984-12-07
Donny Walker,175.26,,,1980-01-04
Donte Johnson,172.72,74.0,Southpaw,1999-01-25
Dooho Choi,177.8,70.0,Orthodox,1991-04-10
Dorian Price,190.5,,Southpaw,1977-08-20
Doug Evans,175.26,,Orthodox,1980-10-10
Douglas Silva de Andrade,170.18,68.0,Orthodox,1985-06-22
Drakkar Klose,175.26,70.0,Orthodox,1988-03-09
Drako Rodriguez,172.72,69.0,Orthodox,1996-06-16
Drew Dober,172.72,70.0,Southpaw,1988-10-19
Drew Fickett,177.8,70.0,Orthodox,1979-12-14
Drew McFedries,182.88,72.0,Southpaw,1978-07-27
Dricus Du Plessis,185.42,76.0,Switch,1994-01-14
Duane Ludwig,177.8,70.0,Orthodox,1978-08-04
Duda Santana,170.18,73.0,Orthodox,1996-01-10
Dusko Todorovic,185.42,74.0,Orthodox,1994-05-19
Dustin Hazelett,185.42,76.0,Orthodox,1986-04-29
Dustin Jacoby,190.5,76.0,Orthodox,1988-04-04
Dustin Kimura,170.18,71.0,Orthodox,1989-05-21
Dustin Neace,175.26,69.0,,1986-09-12
Dustin Ortiz,165.1,65.0,Orthodox,1988-12-25
Dustin Pague,175.26,74.0,Orthodox,1987-08-05
Dustin Poirier,175.26,72.0,Southpaw,1989-01-19
Dustin Stoltzfus,182.88,75.0,Orthodox,1991-11-15
Dwight Grant,185.42,76.0,Switch,1984-09-14
Dylan Andrews,185.42,74.0,Switch,1979-11-15
Dylan Budka,182.88,75.0,Switch,2000-01-14
Ed Herman,185.42,77.0,Orthodox,1980-10-02
Eddie Alvarez,175.26,69.0,Orthodox,1984-01-11
Eddie Gordon,182.88,76.0,Orthodox,1983-07-22
Eddie Mendez,177.8,,,1984-01-16
Eddie Ruiz,170.18,,Orthodox,1967-06-10
Eddie Sanchez,187.96,74.0,Orthodox,1982-11-04
Eddie Wineland,170.18,69.0,Orthodox,1984-06-26
Eddie Yagin,170.18,,Orthodox,1979-03-23
Edgar Chairez,170.18,71.0,Orthodox,1996-01-27
Edgar Garcia,177.8,71.0,Orthodox,1984-02-22
Edilberto de Oliveira,182.88,,Orthodox,1982-11-22
Edimilson Souza,182.88,74.0,Orthodox,1984-10-17
Edmen Shahbazyan,187.96,75.0,Orthodox,1997-11-20
Ednaldo Oliveira,195.58,,Orthodox,1984-02-19
Edson Barboza,180.34,75.0,Orthodox,1986-01-21
Eduarda Moura,167.64,67.0,Orthodox,1994-02-28
Eduardo Garagorri,175.26,70.0,Orthodox,1989-05-28
Edward Faaloloto,,70.0,Orthodox,1984-07-15
Edwin DeWees,185.42,,Orthodox,1982-08-07
Edwin Figueroa,170.18,69.0,Orthodox,1984-07-31
Efrain Escudero,175.26,71.0,Orthodox,1986-01-15
Eiji Mitsuoka,170.18,,Southpaw,1976-01-01
Elias Garcia,165.1,67.0,Southpaw,1992-09-13
Elias Silverio,180.34,73.0,Orthodox,1986-09-22
Elias Theodorou,185.42,75.0,Orthodox,1988-05-31
Elijah Smith,175.26,71.0,Orthodox,2002-09-05
Eliot Marshall,187.96,77.0,Orthodox,1980-07-07
Elise Reed,160.02,63.0,Orthodox,1992-12-05
Elisha Ellison,182.88,78.0,Orthodox,1997-03-05
Elizabeth Phillips,167.64,65.0,Orthodox,1986-08-20
Elizeu Zaleski dos Santos,180.34,73.0,Orthodox,1986-12-11
Elves Brener,177.8,72.0,Orthodox,1997-09-27
Elvis Mutapcic,182.88,72.0,Orthodox,1986-07-19
Elvis Sinosic,190.5,77.0,Orthodox,1971-02-13
Emil Meek,180.34,74.0,Switch,1988-08-20
Emily Ducote,157.48,63.0,Orthodox,1994-01-01
Emily Kagan,160.02,,,1981-07-14
Emily Whitmire,165.1,63.0,Orthodox,1991-05-24
Enrique Barzola,170.18,70.0,Orthodox,1989-04-28
Enrique Marin,177.8,,,1986-09-02
Eric McConico,182.88,77.0,Southpaw,1990-05-09
Eric Nolan,187.96,74.0,Orthodox,1997-09-13
Eric Schafer,190.5,76.0,Orthodox,1977-09-20
Eric Shelton,167.64,68.0,Orthodox,1991-02-02
Eric Spicely,185.42,73.0,Orthodox,1986-09-29
Eric Wisely,172.72,,Southpaw,1984-07-25
Erick Gonzalez,180.34,75.0,Orthodox,1992-01-20
Erick Montano,182.88,73.0,Orthodox,1985-11-19
Erick Silva,182.88,74.0,Orthodox,1984-06-21
Ericka Almeida,167.64,,Orthodox,1989-03-05
Erik Koch,177.8,71.0,Southpaw,1988-10-04
Erik Perez,172.72,68.0,Orthodox,1989-11-19
Erik Silva,175.26,71.0,Orthodox,1987-03-16
Erin Blanchfield,162.56,66.0,Orthodox,1999-05-04
Ernest Chavez,172.72,70.0,Orthodox,1983-06-27
Ernesta Kareckaite,175.26,71.0,Orthodox,1998-07-05
Eryk Anders,185.42,75.0,Southpaw,1987-04-21
Esteban Ribovics,177.8,69.0,Orthodox,1996-04-27
Estevan Payan,177.8,,Orthodox,1982-03-14
Ethyn Ewing,167.64,69.0,Orthodox,1998-02-16
Eugene Jackson,172.72,,Orthodox,1966-09-23
Evan Dunham,177.8,70.0,Southpaw,1981-12-18
Evan Elder,177.8,72.0,Switch,1997-04-11
Evan Tanner,182.88,74.0,Orthodox,1971-02-11
Fabiano Iha,172.72,,Orthodox,1970-07-28
Fabiano Scherner,190.5,,Orthodox,1972-06-30
Fabio Cherant,185.42,74.0,Southpaw,1994-11-25
Fabio Maldonado,185.42,75.0,Orthodox,1980-03-17
Fabricio Camoes,177.8,71.0,Orthodox,1978-12-23
Fabricio Werdum,193.04,77.0,Orthodox,1977-07-30
Falaniko Vitale,177.8,,Orthodox,1974-07-14
Fares Ziam,185.42,75.0,Orthodox,1997-03-21
Farid Basharat,172.72,71.0,Orthodox,1997-08-02
Fatima Kline,167.64,67.0,Orthodox,2000-07-12
Felice Herrig,162.56,65.0,Orthodox,1984-09-18
Felicia Spencer,167.64,68.0,Orthodox,1990-11-29
Felipe Arantes,172.72,73.0,Orthodox,1988-02-09
Felipe Bunes,170.18,69.0,Orthodox,1989-10-29
Felipe Colares,172.72,69.0,Orthodox,1994-03-31
Felipe Lima,167.64,68.0,Orthodox,1998-05-07
Felipe Olivieri,175.26,,Orthodox,1985-04-12
Felipe Silva,182.88,77.0,Orthodox,1984-05-08
Felipe dos Santos,170.18,70.0,Orthodox,2000-09-11
Feng Xiaocan,170.18,67.0,Southpaw,2001-10-27
Fernando Bruno,167.64,,,1982-02-24
Fernando Padilla,185.42,76.0,Orthodox,1996-12-15
Fernie Garcia,170.18,67.0,Orthodox,1992-04-12
Filip Pejic,172.72,,Orthodox,1992-07-21
Floyd Sword,182.88,,Orthodox,1976-08-24
Forrest Griffin,190.5,77.0,Orthodox,1979-03-16
Forrest Petz,175.26,71.0,Orthodox,1975-09-22
Francimar Barroso,185.42,75.0,Orthodox,1980-02-28
Francis Carmont,190.5,78.0,Orthodox,1981-10-11
Francis Marshall,175.26,72.0,Orthodox,1999-03-03
Francis Ngannou,193.04,83.0,Orthodox,1986-09-05
Francisco Figueiredo,167.64,68.0,Southpaw,1989-10-23
Francisco Prado,177.8,69.0,Orthodox,2002-06-16
Francisco Rivera,172.72,70.0,Orthodox,1981-10-08
Francisco Trevino,175.26,70.0,Orthodox,1981-12-17
Francisco Trinaldo,175.26,70.0,Southpaw,1978-08-24
Frank Camacho,177.8,73.0,Orthodox,1989-05-18
Frank Lester,180.34,,Orthodox,1984-06-10
Frank Mir,190.5,79.0,Southpaw,1979-05-24
Frank Trigg,175.26,71.0,Southpaw,1972-05-07
Frankie Edgar,167.64,68.0,Orthodox,1981-10-16
Frankie Perez,180.34,73.0,Orthodox,1989-05-11
Frankie Saenz,167.64,66.0,Orthodox,1980-08-12
Fredson Paixao,167.64,66.0,Orthodox,1979-05-13
Fredy Serrano,160.02,65.0,Orthodox,1979-09-22
Gabe Green,177.8,73.0,Switch,1993-05-02
Gabe Ruediger,177.8,,Orthodox,1977-08-29
Gabriel Benitez,172.72,71.0,Southpaw,1988-06-15
Gabriel Bonfim,185.42,72.0,Orthodox,1997-08-20
Gabriel Gonzaga,187.96,76.0,Orthodox,1979-05-18
Gabriel Miranda,180.34,71.0,Orthodox,1990-03-25
Gabriel Santos,175.26,70.0,Orthodox,1996-11-28
Gabriel Silva,167.64,71.0,Orthodox,1994-08-26
Gabriella Fernandes,167.64,66.0,Southpaw,1993-08-13
Gadzhi Omargadzhiev,185.42,71.0,Switch,1993-02-24
Gadzhimurad Antigulov,180.34,70.0,Orthodox,1987-02-09
Gaetano Pirrello,170.18,65.0,Orthodox,1992-04-29
Galore Bofando,180.34,72.0,Switch,1982-05-22
Gan McGee,208.28,,Orthodox,1976-11-20
Garett Whiteley,182.88,72.0,Orthodox,1980-12-13
Garreth McLellan,185.42,72.0,Southpaw,1982-09-01
Garrett Armfield,167.64,70.0,Orthodox,1996-10-09
Gasan Umalatov,180.34,71.0,Orthodox,1982-09-11
Gaston Bolanos,170.18,69.0,Orthodox,1992-09-14
Gauge Young,175.26,70.0,Orthodox,2000-07-14
Gavin Tucker,167.64,66.0,Southpaw,1986-06-17
Geane Herrera,165.1,66.0,Orthodox,1990-05-27
Gegard Mousasi,187.96,76.0,Orthodox,1985-08-01
Genaro Valdez,175.26,72.0,Orthodox,1992-01-16
Genki Sudo,175.26,,Orthodox,1978-03-08
Geoff Neal,180.34,75.0,Southpaw,1990-08-28
George Roop,185.42,72.0,Orthodox,1981-11-10
George Sotiropoulos,177.8,71.0,Orthodox,1977-07-09
George Sullivan,182.88,73.0,Orthodox,1981-03-13
Georges St-Pierre,180.34,76.0,Orthodox,1981-05-19
Gerald Harris,180.34,77.0,Southpaw,1979-11-19
Gerald Meerschaert,185.42,77.0,Southpaw,1987-12-18
Gerald Strebendt,175.26,,Orthodox,1979-03-01
Geraldo de Freitas,170.18,72.0,Orthodox,1991-09-30
Germaine de Randamie,175.26,71.0,Orthodox,1984-04-24
Gian Villante,190.5,76.0,Orthodox,1985-08-18
Gianni Vazquez,170.18,71.0,Orthodox,1994-07-17
Gideon Ray,177.8,,Southpaw,1973-05-27
Giga Chikadze,182.88,74.0,Orthodox,1988-08-25
Gil Castillo,175.26,,Southpaw,1965-10-21
Gilbert Aldana,185.42,,Orthodox,1977-08-25
Gilbert Burns,177.8,71.0,Orthodox,1986-07-20
Gilbert Melendez,175.26,73.0,Orthodox,1982-04-12
Gilbert Smith,175.26,,Southpaw,1981-10-19
Gilbert Urbina,190.5,75.0,Orthodox,1996-04-05
Gilbert Yvel,187.96,77.0,Orthodox,1976-06-30
Gillian Robertson,165.1,63.0,Orthodox,1995-05-17
Gina Mazany,167.64,68.0,Southpaw,1988-08-19
Glaico Franca Moreira,182.88,77.0,Orthodox,1991-02-28
Gleison Tibau,177.8,71.0,Southpaw,1983-10-07
Gloria de Paula,165.1,67.0,Orthodox,1995-06-10
Glover Teixeira,187.96,76.0,Orthodox,1979-10-28
Godofredo Pepey,170.18,73.0,Orthodox,1987-07-02
Gokhan Saki,182.88,73.0,Orthodox,1983-10-19
Goran Reljic,190.5,81.0,Southpaw,1984-03-20
Grant Dawson,177.8,72.0,Switch,1994-02-20
Gray Maynard,175.26,70.0,Orthodox,1979-05-09
Greg Hardy,195.58,80.0,Orthodox,1988-07-28
Greg Soto,180.34,73.0,Orthodox,1986-06-03
Gregor Gillespie,170.18,71.0,Orthodox,1986-11-13
Gregory Rodrigues,190.5,75.0,Orthodox,1992-02-17
Grigory Popov,170.18,68.0,Switch,1984-04-18
Guangyou Ning,162.56,64.0,Southpaw,1981-12-15
Guido Cannetti,167.64,68.0,Southpaw,1979-12-19
Guilherme Pat,198.12,81.0,Orthodox,1994-04-20
Guilherme Vasconcelos,182.88,,Orthodox,1986-03-23
Gunnar Nelson,180.34,72.0,Switch,1988-07-28
Guram Kutateladze,180.34,72.0,Orthodox,1992-01-08
Gustavo Lopez,165.1,67.0,Orthodox,1989-06-27
Guto Inocente,190.5,,Orthodox,1986-05-29
Hacran Dias,172.72,69.0,Orthodox,1984-06-16
Hailey Cowan,172.72,67.0,Southpaw,1992-02-12
Hakeem Dawodu,172.72,73.0,Orthodox,1991-07-02
Hamdy Abdelwahab,187.96,72.0,Southpaw,1993-01-22
Hannah Cifers,154.94,62.0,Orthodox,1992-06-26
Hannah Goldy,162.56,61.0,Orthodox,1992-05-18
Hans Stringer,190.5,,Orthodox,1987-07-06
Harry Hardwick,172.72,71.0,Switch,1994-09-29
Harry Hunsucker,187.96,75.0,Orthodox,1989-01-03
Hatsu Hioki,180.34,73.0,Orthodox,1983-07-18
Hayato Sakurai,170.18,,Orthodox,1975-08-24
Hayder Hassan,177.8,,,1982-10-20
Heath Herring,193.04,78.0,Orthodox,1978-03-02
Heather Clark,167.64,64.0,Orthodox,1980-09-19
Hector Aldana,180.34,72.0,Orthodox,1988-08-17
Hector Lombard,175.26,71.0,Southpaw,1978-02-02
Hector Ramirez,182.88,,Orthodox,1976-03-28
Hector Sandoval,157.48,64.0,Orthodox,1986-07-19
Hector Urbina,180.34,73.0,Orthodox,1987-09-17
Henrique da Silva,190.5,76.0,Orthodox,1989-09-01
Henry Briones,172.72,69.0,Orthodox,1980-10-22
Henry Cejudo,162.56,64.0,Orthodox,1987-02-09
Henry Martinez,170.18,69.0,Southpaw,1983-08-07
Herbert Burns,175.26,73.0,Orthodox,1988-02-02
Hermes Franca,167.64,71.0,Orthodox,1974-08-26
Hernani Perpetuo,182.88,,Orthodox,1985-05-24
Holly Holm,172.72,69.0,Southpaw,1981-10-17
Homer Moore,177.8,,Orthodox,1971-11-27
Horacio Gutierrez,177.8,,,1990-09-15
Houston Alexander,182.88,72.0,Orthodox,1972-03-22
Hu Yaozong,190.5,72.0,Orthodox,1995-04-07
Hugo Viana,167.64,67.0,Orthodox,1982-09-26
Humberto Bandenay,180.34,71.0,Southpaw,1994-09-04
Humberto Brown Morrison,177.8,,,1984-11-03
Hunter Azure,172.72,69.0,Orthodox,1992-03-02
Hyder Amil,175.26,70.0,Switch,1990-05-28
Hyun Gyu Lim,190.5,77.0,Orthodox,1985-01-16
HyunSung Park,170.18,66.0,Orthodox,1995-11-04
Ian Entwistle,165.1,,Orthodox,1986-11-19
Ian Freeman,180.34,,Orthodox,1966-11-10
Ian Heinisch,180.34,72.0,Orthodox,1988-08-05
Ian Loveland,172.72,,Orthodox,1983-09-07
Ian Machado Garry,190.5,74.0,Orthodox,1997-11-17
Ian McCall,165.1,64.0,Orthodox,1984-05-07
Iasmin Lucindo,160.02,66.0,Orthodox,2002-01-08
Ibo Aslan,190.5,77.0,Orthodox,1996-04-23
Icho Larenas,190.5,,Orthodox,1980-03-12
Ignacio Bahamondes,190.5,75.0,Orthodox,1997-08-27
Igor Araujo,185.42,77.0,Orthodox,1980-12-06
Igor Pokrajac,182.88,74.0,Orthodox,1979-01-02
Ihor Potieria,190.5,75.0,Southpaw,1996-05-29
Ike Villanueva,185.42,73.0,Orthodox,1984-04-04
Ikram Aliskerov,182.88,76.0,Southpaw,1992-12-07
Ildemar Alcantara,187.96,78.0,Orthodox,1982-11-18
Ilia Topuria,170.18,69.0,Orthodox,1997-01-21
Iliarde Santos,165.1,67.0,Orthodox,1980-09-25
Ilir Latifi,177.8,73.0,Orthodox,1982-07-28
Imanol Rodriguez,162.56,64.0,Orthodox,1999-11-15
Impa Kasanganay,180.34,75.0,Orthodox,1994-01-17
Ion Cutelaba,185.42,75.0,Southpaw,1993-12-14
Irene Aldana,175.26,68.0,Orthodox,1988-03-26
Irina Alekseeva,172.72,67.0,Orthodox,1990-06-27
Irwin Rivera,167.64,67.0,Southpaw,1989-02-14
Isaac Dulgarian,170.18,71.0,Orthodox,1996-07-04
Isaac Thomson,177.8,69.0,,2002-05-03
Isaac Vallie-Flagg,172.72,70.0,Orthodox,1978-04-08
Isabela de Padua,160.02,64.0,Orthodox,1991-09-04
Islam Dulatov,190.5,75.0,Orthodox,1998-08-02
Islam Makhachev,177.8,70.0,Southpaw,1991-10-27
Ismael Bonfim,172.72,71.0,Orthodox,1995-12-28
Ismail Naurdiev,177.8,74.0,Orthodox,1996-08-18
Israel Adesanya,193.04,80.0,Switch,1989-07-22
Issei Tamura,165.1,63.0,Orthodox,1984-03-12
Istela Nunes,162.56,66.0,Orthodox,1992-07-23
Iuri Alcantara,175.26,71.0,Southpaw,1980-08-04
Ivan Erslan,187.96,72.0,Orthodox,1991-11-15
Ivan Jorge,175.26,73.0,Orthodox,1980-11-07
Ivan Menjivar,167.64,64.0,Orthodox,1982-05-30
Ivan Salaverry,182.88,,Orthodox,1971-01-11
Ivan Serati,182.88,,Orthodox,
